סעיף,יח',מחיר,תאור
57.012.0349,מ',1390,"צינורות פוליאתילן מצולב קוטר 500 מ״מ  דוגמת ""פקסגול"" דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0360,מ',300,"צינורות פוליאתילן מצולב קוטר 160 מ״מ  דוגמת ""פקסגול"" דרג 12 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0361,מ',400,"צינורות פוליאתילן מצולב קוטר 200 מ״מ  דוגמת ""פקסגול"" דרג 12 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0362,מ',520,"צינורות פוליאתילן מצולב קוטר 225 מ״מ  דוגמת ""פקסגול"" דרג 12 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0364,מ',650,"צינורות פוליאתילן מצולב קוטר 280 מ״מ  דוגמת ""פקסגול"" דרג 12 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0365,מ',800,"צינורות פוליאתילן מצולב קוטר 315 מ״מ  דוגמת ""פקסגול"" דרג 12 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0366,מ',980,"צינורות פוליאתילן מצולב קוטר 355 מ״מ  דוגמת ""פקסגול"" דרג 12 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0367,מ',1200,"צינורות פוליאתילן מצולב קוטר 400 מ״מ  דוגמת ""פקסגול"" דרג 12 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0370,מ',310,"צינורות פוליאתילן מצולב קוטר 160 מ״מ  דוגמת ""פקסגול"" דרג 15 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0371,מ',480,"צינורות פוליאתילן מצולב קוטר 200 מ״מ  דוגמת ""פקסגול"" דרג 15 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0372,מ',605,"צינורות פוליאתילן מצולב קוטר 225 מ״מ  דוגמת ""פקסגול"" דרג 15 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0373,מ',760,"צינורות פוליאתילן מצולב קוטר 250 מ״מ  דוגמת ""פקסגול"" דרג 15 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0374,מ',840,"צינורות פוליאתילן מצולב קוטר 280 מ״מ  דוגמת ""פקסגול"" דרג 15 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0375,מ',960,"צינורות פוליאתילן מצולב קוטר 315 מ״מ  דוגמת ""פקסגול"" דרג 15 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0379,מ',100,"צינורות פוליאתילן מסוג H.D.P.E קוטר 63 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0380,מ',117,"צינורות פוליאתילן מסוג H.D.P.E קוטר 75 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0381,מ',138,"צינורות פוליאתילן מסוג H.D.P.E קוטר 90 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0382,מ',158,"צינורות פוליאתילן מסוג H.D.P.E קוטר 110 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0383,מ',192,"צינורות פוליאתילן מסוג H.D.P.E קוטר 140 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0384,מ',227,"צינורות פוליאתילן מסוג H.D.P.E קוטר 160 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0385,מ',266,"צינורות פוליאתילן מסוג H.D.P.E קוטר 180 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0386,מ',305,"צינורות פוליאתילן מסוג H.D.P.E קוטר 200 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0387,מ',368,"צינורות פוליאתילן מסוג H.D.P.E קוטר 225 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0388,מ',438,"צינורות פוליאתילן מסוג H.D.P.E קוטר 250 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0389,מ',520,"צינורות פוליאתילן מסוג H.D.P.E קוטר 280 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0390,מ',620,"צינורות פוליאתילן מסוג H.D.P.E קוטר 315 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0391,מ',760,"צינורות פוליאתילן מסוג H.D.P.E קוטר 355 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0392,מ',870,"צינורות פוליאתילן מסוג H.D.P.E קוטר 400 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0393,מ',1150,"צינורות פוליאתילן מסוג H.D.P.E קוטר 450 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0394,מ',1380,"צינורות פוליאתילן מסוג H.D.P.E קוטר 500 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0395,מ',1640,"צינורות פוליאתילן מסוג H.D.P.E קוטר 560 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0396,מ',2080,"צינורות פוליאתילן מסוג H.D.P.E קוטר 630 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0397,מ',2550,"צינורות פוליאתילן מסוג H.D.P.E קוטר 710 מ״מ  מסוג 100-PE ""מריפלקס"" 13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזרדוגמת ""מריפלקס"" 100-PE 13.6-SDR דרג"
57.012.0398,מ',3500,"צינורות פוליאתילן מסוג H.D.P.E קוטר 800 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0399,מ',4100,"צינורות פוליאתילן מסוג H.D.P.E קוטר 900 מ״מ  מסוג 100-PE ""מריפלקס""  13.6-SDR דרג 12.5 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0400,מ',110,"צינורות פוליאתילן מסוג H.D.P.E קוטר 75 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0405,מ',130,"צינורות פוליאתילן מסוג H.D.P.E קוטר 90 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0410,מ',150,"צינורות פוליאתילן מסוג H.D.P.E קוטר 110 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0415,מ',170,"צינורות פוליאתילן מסוג H.D.P.E קוטר 140 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0420,מ',210,"צינורות פוליאתילן מסוג H.D.P.E קוטר 160 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0425,מ',240,"צינורות פוליאתילן מסוג H.D.P.E קוטר 180 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0426,מ',280,"צינורות פוליאתילן מסוג H.D.P.E קוטר 200 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0430,מ',330,"צינורות פוליאתילן מסוג H.D.P.E קוטר 225 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0440,מ',390,"צינורות פוליאתילן מסוג H.D.P.E קוטר 250 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0445,מ',460,"צינורות פוליאתילן מסוג H.D.P.E קוטר 280 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0450,מ',540,"צינורות פוליאתילן מסוג H.D.P.E קוטר 315 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0460,מ',670,"צינורות פוליאתילן מסוג H.D.P.E קוטר 355 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0470,מ',820,"צינורות פוליאתילן מסוג H.D.P.E קוטר 400 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0480,מ',990,"צינורות פוליאתילן מסוג H.D.P.E קוטר 450 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0490,מ',1190,"צינורות פוליאתילן מסוג H.D.P.E קוטר 500 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0491,מ',1400,"צינורות פוליאתילן מסוג H.D.P.E קוטר 560 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0492,מ',1740,"צינורות פוליאתילן מסוג H.D.P.E קוטר 630 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0493,מ',2170,"צינורות פוליאתילן מסוג H.D.P.E קוטר 710 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0494,מ',2970,"צינורות פוליאתילן מסוג H.D.P.E קוטר 800 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0495,מ',3130,"צינורות פוליאתילן מסוג H.D.P.E קוטר 900 מ״מ  מסוג 100-PE ""מריפלקס""  17-SDR דרג 10 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0500,מ',120,"צינורות פוליאתילן מסוג H.D.P.E קוטר 63 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0510,מ',130,"צינורות פוליאתילן מסוג H.D.P.E קוטר 75 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0515,מ',160,"צינורות פוליאתילן מסוג H.D.P.E קוטר 90 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0520,מ',180,"צינורות פוליאתילן מסוג H.D.P.E קוטר 110 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0529,מ',220,"צינורות פוליאתילן מסוג H.D.P.E קוטר 140 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0530,מ',260,"צינורות פוליאתילן מסוג H.D.P.E קוטר 160 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0535,מ',310,"צינורות פוליאתילן מסוג H.D.P.E קוטר 180 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0537,מ',350,"צינורות פוליאתילן מסוג H.D.P.E קוטר 200 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0540,מ',420,"צינורות פוליאתילן מסוג H.D.P.E קוטר 225 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0550,מ',540,"צינורות פוליאתילן מסוג H.D.P.E קוטר 250 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0555,מ',640,"צינורות פוליאתילן מסוג H.D.P.E קוטר 280 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0560,מ',680,"צינורות פוליאתילן מסוג H.D.P.E קוטר 315 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0570,מ',870,"צינורות פוליאתילן מסוג H.D.P.E קוטר 355 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0580,מ',930,"צינורות פוליאתילן מסוג H.D.P.E קוטר 400 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0590,מ',1380,"צינורות פוליאתילן מסוג H.D.P.E קוטר 450 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0600,מ',1670,"צינורות פוליאתילן מסוג H.D.P.E קוטר 500 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0610,מ',2050,"צינורות פוליאתילן מסוג H.D.P.E קוטר 560 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0620,מ',2530,"צינורות פוליאתילן מסוג H.D.P.E קוטר 630 מ״מ  מסוג 100-PE ""מריפלקס""  11-SDR דרג 16 או ש״ע  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.75 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.012.0650,מ',24,תוספת לצינורות פוליאתילן עבור עומק נוסף של 0.5 מ' - עד לעומק 2.25 מ'
57.012.2999,הערה,0,קשיח P.V.C ספחים לצינורות לצינורות
57.012.3000,יח',80,ספחים שונים כגון: קשתות  מאספים  מעברים וכדי לצינורות P.V.C קשיח  קוטר הצינור 75 מ״מ
57.012.3010,יח',95,ספחים שונים כגון: קשתות  מאספים  מעברים וכדי לצינורות P.V.C קשיח  קוטר הצינור 90 מ״מ
57.012.3020,יח',100,ספחים שונים כגון: קשתות  מאספים  מעברים וכדי לצינורות P.V.C קשיח  קוטר הצינור 110 מ״מ
57.012.3030,יח',135,ספחים שונים כגון: קשתות  מאספים  מעברים וכדי לצינורות P.V.C קשיח  קוטר הצינור 140 מ״מ
57.012.3040,יח',140,ספחים שונים כגון: קשתות  מאספים  מעברים וכדי לצינורות P.V.C קשיח  קוטר הצינור 160 מ״מ
57.012.3050,יח',200,ספחים שונים כגון: קשתות  מאספים  מעברים וכדי לצינורות P.V.C קשיח  קוטר הצינור 225 מ״מ
57.012.3060,יח',315,ספחים שונים כגון: קשתות  מאספים  מעברים וכדי לצינורות P.V.C קשיח  קוטר הצינור 280 מ״מ
57.012.3070,יח',365,ספחים שונים כגון: קשתות  מאספים  מעברים וכדי לצינורות P.V.C קשיח  קוטר הצינור 315 מ״מ
57.012.3080,יח',460,ספחים שונים כגון: קשתות  מאספים  מעברים וכדי לצינורות P.V.C קשיח  קוטר הצינור 355 מ״מ
57.012.3199,הערה,0,"ספחים לצינורות פוליאתילן מצולב מסוג ""פקסגול"""
57.012.3200,יח',135,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 75 מ״מ"
57.012.3210,יח',140,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 90 מ״מ"
57.012.3220,יח',152,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 110 מ״מ"
57.012.3230,יח',236,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 160 מ״מ"
57.012.3240,יח',275,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 200 מ״מ"
57.012.3250,יח',480,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 225 מ״מ"
57.012.3260,יח',585,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 250 מ״מ"
57.012.3270,יח',627,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 280 מ״מ"
57.012.3280,יח',750,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 315 מ״מ"
57.012.3290,יח',850,"ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים וכדי לצינורות פוליאתילן מצולב מסוג ""פקסגול""  קוטר 355 מ״מ"
57.012.3339,הערה,0,H.D.P.E ספחים לצינורות פוליאתילן מסוג
57.012.3340,יח',100,ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים לצינורות פוליאתילן מסוג H.D.P.E  קוטר 63 מ״מ
57.012.3350,יח',120,ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים לצינורות פוליאתילן מסוג H.D.P.E  קוטר 75 מ״מ
57.012.3360,יח',150,ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים לצינורות פוליאתילן מסוג H.D.P.E  קוטר 90 מ״מ
57.012.3370,יח',220,ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים לצינורות פוליאתילן מסוג H.D.P.E  קוטר 110 מ״מ
57.012.3380,יח',300,ספחים שונים כגון: קשתות  הסתעפויות  מעברים  מתאמים בין סוג׳ צינורות שונים לצינורות פוליאתילן מסוג H.D.P.E  קוטר 160 מ״מ
,,,םה״כ לצינורות פלסטיים
57.014,,,חיבור קווי מים
57.014.0001,הערה,0,חיבור קו מים חדש מצינור פלדה לקו קיים מצינור פלדה
