סעיף,יח',מחיר,תאור
57.011.0130,מ',380,"צינורות פלדה קוטר ""8  עובי דופן ""5/32  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או 3-APC או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0137,מ',270,"צינורות פלדה קוטר ""4  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0138,מ',350,"צינורות פלדה קוטר ""6  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0139,מ',420,"צינורות פלדה קוטר ""8  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0140,מ',510,"צינורות פלדה קוטר ""10  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0141,מ',590,"צינורות פלדה קוטר ""12  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0142,מ',680,"צינורות פלדה קוטר ""14  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0143,מ',730,"צינורות פלדה קוטר ""16  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0144,מ',850,"צינורות פלדה קוטר ""18  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0146,מ',900,"צינורות פלדה קוטר ""16  עובי דופן ""1/4  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
